FR_ID,component,spec_ref_DERIVED,element,kind,width_bits,DERIVED_legal,PINNED_clause_ref(TODO),PINNED_legal(TODO),STATUS(DERIVED|PINNED|CHANGED),reachable_now,traces_to_checker,traces_to_cover/isoneg,notes
FR-BWP-06,bwp,O-RAN.WG4.CUS BWP + 3GPP TS38.211 FR1/FR2 numerology,active,range,1,range[0:1],,,DERIVED,no(TRUE_DEAD),CHK-BWP-06 / first_violation:RANGE_active,cover:active / isoneg:RANGE_active,width-contingent deadness
FR-BWP-07,bwp,O-RAN.WG4.CUS BWP + 3GPP TS38.211 FR1/FR2 numerology,seq,range,8,range[0:255],,,DERIVED,no(TRUE_DEAD),CHK-BWP-07 / first_violation:RANGE_seq,cover:seq / isoneg:RANGE_seq,width-contingent deadness
FR-BWP-08,bwp,O-RAN.WG4.CUS BWP + 3GPP TS38.211 FR1/FR2 numerology,rsvd,const,35,const=0,,,DERIVED,yes,CHK-BWP-08 / first_violation:CONST_rsvd,cover:rsvd / isoneg:CONST_rsvd,
FR-MMWAVE-01,mmwave,"3GPP TS38.211 FR2 mmWave n257/n258/n260/n261, mu=2/3/4",version,const,4,const=1,,,DERIVED,yes,CHK-MMWAVE-01 / first_violation:CONST_version,cover:version / isoneg:CONST_version,
FR-MMWAVE-02,mmwave,"3GPP TS38.211 FR2 mmWave n257/n258/n260/n261, mu=2/3/4",band,enum,3,"enum{0,1,2,3}",,,DERIVED,yes,CHK-MMWAVE-02 / first_violation:ENUM_band,cover:band / isoneg:ENUM_band,
FR-MMWAVE-03,mmwave,"3GPP TS38.211 FR2 mmWave n257/n258/n260/n261, mu=2/3/4",numerology,range,4,range[2:4],,,DERIVED,yes,CHK-MMWAVE-03 / first_violation:RANGE_numerology,cover:numerology / isoneg:RANGE_numerology,
FR-MMWAVE-04,mmwave,"3GPP TS38.211 FR2 mmWave n257/n258/n260/n261, mu=2/3/4",scs,enum,2,"enum{0,1,2}",,,DERIVED,yes,CHK-MMWAVE-04 / first_violation:ENUM_scs,cover:scs / isoneg:ENUM_scs,
FR-MMWAVE-05,mmwave,"3GPP TS38.211 FR2 mmWave n257/n258/n260/n261, mu=2/3/4",ssb_period,enum,4,"enum{0,1,2,3,4,5}",,,DERIVED,yes,CHK-MMWAVE-05 / first_violation:ENUM_ssb_period,cover:ssb_period / isoneg:ENUM_ssb_period,
FR-MMWAVE-06,mmwave,"3GPP TS38.211 FR2 mmWave n257/n258/n260/n261, mu=2/3/4",beam_id,range,16,range[0:65535],,,DERIVED,no(TRUE_DEAD),CHK-MMWAVE-06 / first_violation:RANGE_beam_id,cover:beam_id / isoneg:RANGE_beam_id,width-contingent deadness
FR-MMWAVE-07,mmwave,"3GPP TS38.211 FR2 mmWave n257/n258/n260/n261, mu=2/3/4",seq,range,8,range[0:255],,,DERIVED,no(TRUE_DEAD),CHK-MMWAVE-07 / first_violation:RANGE_seq,cover:seq / isoneg:RANGE_seq,width-contingent deadness
FR-MMWAVE-08,mmwave,"3GPP TS38.211 FR2 mmWave n257/n258/n260/n261, mu=2/3/4",rsvd,const,23,const=0,,,DERIVED,yes,CHK-MMWAVE-08 / first_violation:CONST_rsvd,cover:rsvd / isoneg:CONST_rsvd,
FR-LAA-01,laa,O-RAN.WG4.CUS Section Type 5 LAA + LBT Cat1-4,version,const,4,const=1,,,DERIVED,yes,CHK-LAA-01 / first_violation:CONST_version,cover:version / isoneg:CONST_version,
FR-LAA-02,laa,O-RAN.WG4.CUS Section Type 5 LAA + LBT Cat1-4,section_type,const,4,const=5,,,DERIVED,yes,CHK-LAA-02 / first_violation:CONST_section_type,cover:section_type / isoneg:CONST_section_type,
FR-LAA-03,laa,O-RAN.WG4.CUS Section Type 5 LAA + LBT Cat1-4,lbt_cat,enum,3,"enum{1,2,3,4}",,,DERIVED,yes,CHK-LAA-03 / first_violation:ENUM_lbt_cat,cover:lbt_cat / isoneg:ENUM_lbt_cat,
FR-LAA-04,laa,O-RAN.WG4.CUS Section Type 5 LAA + LBT Cat1-4,lbt_result,range,1,range[0:1],,,DERIVED,no(TRUE_DEAD),CHK-LAA-04 / first_violation:RANGE_lbt_result,cover:lbt_result / isoneg:RANGE_lbt_result,width-contingent deadness
FR-LAA-05,laa,O-RAN.WG4.CUS Section Type 5 LAA + LBT Cat1-4,burst_type,range,1,range[0:1],,,DERIVED,no(TRUE_DEAD),CHK-LAA-05 / first_violation:RANGE_burst_type,cover:burst_type / isoneg:RANGE_burst_type,width-contingent deadness
FR-LAA-06,laa,O-RAN.WG4.CUS Section Type 5 LAA + LBT Cat1-4,cap,range,2,range[0:3],,,DERIVED,no(TRUE_DEAD),CHK-LAA-06 / first_violation:RANGE_cap,cover:cap / isoneg:RANGE_cap,width-contingent deadness
FR-LAA-07,laa,O-RAN.WG4.CUS Section Type 5 LAA + LBT Cat1-4,section_ext,const,4,const=3,,,DERIVED,yes,CHK-LAA-07 / first_violation:CONST_section_ext,cover:section_ext / isoneg:CONST_section_ext,
FR-LAA-08,laa,O-RAN.WG4.CUS Section Type 5 LAA + LBT Cat1-4,seq,range,8,range[0:255],,,DERIVED,no(TRUE_DEAD),CHK-LAA-08 / first_violation:RANGE_seq,cover:seq / isoneg:RANGE_seq,width-contingent deadness
FR-LAA-09,laa,O-RAN.WG4.CUS Section Type 5 LAA + LBT Cat1-4,rsvd,const,37,const=0,,,DERIVED,yes,CHK-LAA-09 / first_violation:CONST_rsvd,cover:rsvd / isoneg:CONST_rsvd,
